user_name,after_task_id,completed_count,user_global,user_type_residual,user_difficulty_residual,user_folder_residual,type_count,difficulty_count,folder_count
세진,1,1,0.460041,"{""QUANTITY_BASED"": 0.06756802429844196}","{""UNKNOWN"": 0.045045349532294644}","{""3"": 0.045045349532294644}","{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}","{""3"": 1}"
세진,3,2,0.434467,"{""QUANTITY_BASED"": 0.06756802429844196, ""SATISFACTION_BASED"": -0.06570938533531744}","{""UNKNOWN"": 0.045045349532294644, ""MEDIUM"": -0.04380625689021163}","{""3"": 0.045045349532294644, ""4"": -0.04380625689021163}","{""QUANTITY_BASED"": 1, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1, ""MEDIUM"": 1}","{""3"": 1, ""4"": 1}"
세진,4,3,0.413778,"{""QUANTITY_BASED"": 0.03674836747251842, ""SATISFACTION_BASED"": -0.06570938533531744}","{""UNKNOWN"": 0.045045349532294644, ""MEDIUM"": -0.04380625689021163, ""LOW"": -0.013789635454104826}","{""3"": 0.045045349532294644, ""4"": -0.04380625689021163, ""5"": -0.013789635454104826}","{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1, ""MEDIUM"": 1, ""LOW"": 1}","{""3"": 1, ""4"": 1, ""5"": 1}"
세진,2,4,0.505461,"{""QUANTITY_BASED"": 0.15446363589879591, ""SATISFACTION_BASED"": -0.06570938533531744}","{""UNKNOWN"": 0.12269249694383536, ""MEDIUM"": -0.04380625689021163, ""LOW"": -0.013789635454104826}","{""3"": 0.12269249694383536, ""4"": -0.04380625689021163, ""5"": -0.013789635454104826}","{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}","{""3"": 2, ""4"": 1, ""5"": 1}"
세진,5,5,0.448016,"{""QUANTITY_BASED"": 0.030829459997413405, ""SATISFACTION_BASED"": -0.06570938533531744}","{""UNKNOWN"": 0.0434468269050764, ""MEDIUM"": -0.04380625689021163, ""LOW"": -0.013789635454104826}","{""3"": 0.0434468269050764, ""4"": -0.04380625689021163, ""5"": -0.013789635454104826}","{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}","{""3"": 3, ""4"": 1, ""5"": 1}"
세진,6,6,0.413349,"{""QUANTITY_BASED"": -0.035475225502071425, ""SATISFACTION_BASED"": -0.06570938533531744}","{""UNKNOWN"": 0.0434468269050764, ""MEDIUM"": -0.04380625689021163, ""LOW"": -0.013789635454104826, ""HIGH"": -0.04112017766658188}","{""3"": 0.0434468269050764, ""4"": -0.04380625689021163, ""5"": -0.05353084957527622}","{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2}"
세진,8,7,0.432172,"{""QUANTITY_BASED"": -0.001919357256949035, ""SATISFACTION_BASED"": -0.06570938533531744}","{""UNKNOWN"": 0.0434468269050764, ""MEDIUM"": -0.02060257492131602, ""LOW"": -0.013789635454104826, ""HIGH"": -0.04112017766658188}","{""3"": 0.0434468269050764, ""4"": -0.04380625689021163, ""5"": -0.05353084957527622, ""7"": 0.01882305627987445}","{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 1}"
세진,7,8,0.527585,"{""QUANTITY_BASED"": -0.001919357256949035, ""SATISFACTION_BASED"": 0.05991707103653286}","{""UNKNOWN"": 0.0434468269050764, ""MEDIUM"": 0.05863771495185072, ""LOW"": -0.013789635454104826, ""HIGH"": -0.04112017766658188}","{""3"": 0.0434468269050764, ""4"": -0.04380625689021163, ""5"": -0.05353084957527622, ""7"": 0.01882305627987445, ""6"": 0.07718003238103513}","{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 1, ""6"": 1}"
세진,11,9,0.514629,"{""QUANTITY_BASED"": -0.021064634511712036, ""SATISFACTION_BASED"": 0.05991707103653286}","{""UNKNOWN"": 0.0434468269050764, ""MEDIUM"": 0.03981848956112874, ""LOW"": -0.013789635454104826, ""HIGH"": -0.04112017766658188}","{""3"": 0.0434468269050764, ""4"": -0.04380625689021163, ""5"": -0.05353084957527622, ""7"": 0.0039852967563501, ""6"": 0.07718003238103513}","{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 2, ""6"": 1}"
세진,9,10,0.587165,"{""QUANTITY_BASED"": 0.09089816474031837, ""SATISFACTION_BASED"": 0.05991707103653286}","{""UNKNOWN"": 0.0434468269050764, ""MEDIUM"": 0.10837204332186492, ""LOW"": -0.013789635454104826, ""HIGH"": -0.04112017766658188}","{""3"": 0.0434468269050764, ""4"": -0.04380625689021163, ""5"": -0.05353084957527622, ""7"": 0.07612216979756416, ""6"": 0.07718003238103513}","{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 5, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 3, ""6"": 1}"
