user_name,task_id,task_title,session_order,session_elapsed_minutes,elapsed_minutes,progress_percent,focus_raw,focus_level,previous_ai_total_minutes,updated_ai_total_minutes,actual_minutes,error_minutes_updated_total_minus_actual,absolute_error_minutes,absolute_percentage_error,progress_based_remaining_minutes,normalized_remaining_minutes,blending_weight,final_remaining_minutes,focus_weight
세진,1,알고리즘 - 수학 공부,0,48.0,48.0,30.0,산만,LOW,160.37,148.99,233.0,-84.01,84.01,36.06,112.0,89.6,0.5,100.99,0.8
세진,1,알고리즘 - 수학 공부,0,72.0,120.0,40.0,보통,MEDIUM,148.99,224.49,233.0,-8.51,8.51,3.65,180.0,180.0,0.5,104.49,1.0
세진,1,알고리즘 - 수학 공부,0,87.0,207.0,90.0,꽤 집중,HIGH,224.49,233.59,233.0,0.59,0.59,0.25,23.0,27.6,0.9,26.59,1.2
세진,1,알고리즘 - 수학 공부,0,26.0,233.0,100.0,꽤 집중,HIGH,233.59,233.06,233.0,0.06,0.06,0.03,0.0,0.0,0.9,0.06,1.2
세진,2,알고리즘 - 이분탐색 공부,0,11.0,11.0,10.0,보통,MEDIUM,106.99,107.75,227.0,-119.25,119.25,52.53,99.0,99.0,0.25,96.75,1.0
세진,2,알고리즘 - 이분탐색 공부,0,87.0,98.0,20.0,완전 몰입,VERY_HIGH,107.75,252.31,227.0,25.31,25.31,11.15,392.0,588.0,0.25,154.31,1.5
세진,2,알고리즘 - 이분탐색 공부,0,15.0,113.0,30.0,완전 몰입,VERY_HIGH,252.31,380.4,227.0,153.4,153.4,67.58,263.67,395.5,0.5,267.4,1.5
세진,2,알고리즘 - 이분탐색 공부,0,55.0,168.0,50.0,꽤 집중,HIGH,380.4,375.0,227.0,148.0,148.0,65.2,168.0,201.6,0.5,207.0,1.2
세진,2,알고리즘 - 이분탐색 공부,0,59.0,227.0,100.0,완전 몰입,VERY_HIGH,375.0,241.8,227.0,14.8,14.8,6.52,0.0,0.0,0.9,14.8,1.5
세진,3,캡디 자료조사 하기,0,104.0,104.0,80.0,보통,MEDIUM,298.14,172.03,184.0,-11.97,11.97,6.5,26.0,26.0,0.75,68.03,1.0
세진,3,캡디 자료조사 하기,0,80.0,184.0,100.0,보통,MEDIUM,172.03,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.0
세진,4,악성 코드 조사 및 정리하기,0,113.0,113.0,100.0,보통,MEDIUM,125.29,114.23,113.0,1.23,1.23,1.09,0.0,0.0,0.9,1.23,1.0
세진,5,알고리즘 - 이진 검색 트리,0,37.0,37.0,40.0,산만,LOW,108.39,94.9,56.0,38.9,38.9,69.46,55.5,44.4,0.5,57.9,0.8
세진,5,알고리즘 - 이진 검색 트리,0,11.0,48.0,50.0,보통,MEDIUM,94.9,95.45,56.0,39.45,39.45,70.44,48.0,48.0,0.5,47.45,1.0
