user_name,task_id,completed_at,title,folder_raw,folder_id,task_type_raw,task_type,difficulty_raw,difficulty,estimated_minutes_user,ai_estimated_minutes_at_registration,correction_factor_at_registration,log_correction_at_registration,estimate_stage,actual_minutes,planning_error_ratio_actual_div_user_estimated,clamped_planning_error_ratio,log_ratio,clamped_log_ratio,update_stage,dropped,drop_reason,completed_count_before,user_global_before,user_global_after,type_residual_after,difficulty_residual_after,folder_residual_after,type_count_after,difficulty_count_after,folder_count_after
세진,1,2026-03-21 23:40,알고리즘 - 수학 공부,기본 폴더,1,분량형,QUANTITY_BASED,모름,UNKNOWN,90.0,160.37,1.7819,0.5777,RULE,233.0,2.5889,2.5889,0.9512,0.9512,AVERAGE_BASELINE,False,,0,,0.4954,"{""QUANTITY_BASED"": 0.05602931748531534}","{""UNKNOWN"": 0.03735287832354356}","{""1"": 0.03735287832354356}","{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}","{""1"": 1}"
세진,4,2026-03-22 20:05,캡디 자료조사 하기,기본 폴더,1,만족형,SATISFACTION_BASED,중,MEDIUM,150.0,297.57,1.9838,0.685,RULE_AVERAGE_BLEND,184.0,1.2267,1.2267,0.2043,0.2043,AVERAGE_BASELINE,False,,1,0.4954,0.4662,"{""QUANTITY_BASED"": 0.05602931748531534, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.03735287832354356, ""MEDIUM"": -0.05310524148108138}","{""1"": -0.019487650989892177}","{""QUANTITY_BASED"": 1, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1, ""MEDIUM"": 1}","{""1"": 2}"
세진,5,2026-03-23 21:01,악성 코드 조사 및 정리하기,기본 폴더,1,분량형,QUANTITY_BASED,하,LOW,90.0,124.49,1.3832,0.3244,RULE_AVERAGE_BLEND,113.0,1.2556,1.2556,0.2276,0.2276,AVERAGE_BASELINE,False,,2,0.4662,0.4424,"{""QUANTITY_BASED"": 0.029974496593460034, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.03735287832354356, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867}","{""1"": -0.02930583473694163}","{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1, ""MEDIUM"": 1, ""LOW"": 1}","{""1"": 3}"
세진,2,2026-03-24 14:09,알고리즘 - 이분탐색 공부,기본 폴더,1,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,106.98,1.783,0.5783,RULE_AVERAGE_BLEND,227.0,3.7833,3.7833,1.3306,1.3306,AVERAGE_BASELINE,False,,3,0.4424,0.5312,"{""QUANTITY_BASED"": 0.13876203719387278, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.10914006721747704, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867}","{""1"": 0.04914722546304037}","{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}","{""1"": 4}"
세진,8,2026-03-25 12:21,알고리즘 - 이진 검색 트리,기본 폴더,1,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,108.71,1.8118,0.5943,RULE_AVERAGE_BLEND,56.0,0.9333,0.9333,-0.069,-0.069,AVERAGE_BASELINE,False,,4,0.5312,0.4712,"{""QUANTITY_BASED"": 0.007968326183342436, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867}","{""1"": -0.029087100704229936}","{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}","{""1"": 5}"
세진,10,2026-04-13 21:43,워게임 rev-basic 9문제 풀기,기본 폴더,1,분량형,QUANTITY_BASED,상,HIGH,150.0,211.59,1.4106,0.344,RULE_AVERAGE_BLEND,166.0,1.1067,1.1067,0.1014,0.1014,AVERAGE_BASELINE,False,,5,0.4712,0.4342,"{""QUANTITY_BASED"": -0.03340158277037757, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""1"": -0.05296149731795271}","{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}","{""1"": 6}"
세진,16,2026-04-19 03:12,멀코컴 03 정리 마무리,기본 폴더,1,분량형,QUANTITY_BASED,중,MEDIUM,40.0,56.31,1.4079,0.3421,RULE_AVERAGE_BLEND,73.0,1.825,1.825,0.6016,0.6016,AVERAGE_BASELINE,False,,6,0.4342,0.4509,"{""QUANTITY_BASED"": 0.010665584537707391, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": -0.021756764071287692, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""1"": -0.021627394324471885}","{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}","{""1"": 7}"
세진,14,2026-04-19 15:07,운체보 개념 이해,기본 폴더,1,만족형,SATISFACTION_BASED,중,MEDIUM,240.0,473.65,1.9735,0.6798,RULE_AVERAGE_BLEND,1000.0,4.1667,4.0,1.4271,1.3863,AVERAGE_BASELINE,False,,7,0.4509,0.5445,"{""QUANTITY_BASED"": 0.010665584537707391, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.04995450767990166, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""1"": 0.05007094045203588}","{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}","{""1"": 8}"
세진,20,2026-04-19 19:27,멀코컴 04-2 강의 정리,기본 폴더,1,분량형,QUANTITY_BASED,중,MEDIUM,45.0,65.89,1.4643,0.3814,RULE_AVERAGE_BLEND,67.0,1.4889,1.4889,0.398,0.398,AVERAGE_BASELINE,False,,8,0.5445,0.5298,"{""QUANTITY_BASED"": 0.0010491658466464243, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.039614669571641586, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""1"": 0.03971945906656239}","{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}","{""1"": 9}"
세진,17,2026-04-19 21:31,멀코컴 04-1 강의 정리,기본 폴더,1,분량형,QUANTITY_BASED,중,MEDIUM,90.0,131.7,1.4633,0.3807,RULE_AVERAGE_BLEND,311.0,3.4556,3.4556,1.24,1.24,AVERAGE_BASELINE,False,,9,0.5298,0.6008,"{""QUANTITY_BASED"": 0.1213648348945335, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.1159685652310668, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""1"": 0.11606287577649552}","{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 5, ""LOW"": 1, ""HIGH"": 1}","{""1"": 10}"
