user_name,task_id,task_title,session_order,started_at,ended_at,session_elapsed_minutes,elapsed_minutes,progress_percent,focus_raw,focus_level,previous_ai_total_minutes,updated_ai_total_minutes,actual_minutes,error_minutes_updated_total_minus_actual,absolute_error_minutes,absolute_percentage_error,progress_based_remaining_minutes,normalized_remaining_minutes,blending_weight,final_remaining_minutes,focus_weight
세진,1,알고리즘 - 수학 공부,1,2026-03-20 20:13,2026-03-20 21:00,48.0,48.0,30.0,산만,LOW,148.5,143.05,233.0,-89.95,89.95,38.61,112.0,89.6,0.5,95.05,0.8
세진,1,알고리즘 - 수학 공부,2,2026-03-20 23:02,2026-03-21 00:14,72.0,120.0,40.0,보통,MEDIUM,143.05,221.53,233.0,-11.47,11.47,4.92,180.0,180.0,0.5,101.53,1.0
세진,1,알고리즘 - 수학 공부,3,2026-03-21 19:50,2026-03-21 21:17,87.0,207.0,90.0,꽤 집중,HIGH,221.53,233.29,233.0,0.29,0.29,0.13,23.0,27.6,0.9,26.29,1.2
세진,1,알고리즘 - 수학 공부,4,2026-03-21 23:15,2026-03-21 23:40,26.0,233.0,100.0,꽤 집중,HIGH,233.29,233.03,233.0,0.03,0.03,0.01,0.0,0.0,0.9,0.03,1.2
세진,4,캡디 자료조사 하기,1,2026-03-22 15:46,2026-03-22 17:30,104.0,104.0,80.0,보통,MEDIUM,270.1,165.02,184.0,-18.98,18.98,10.31,26.0,26.0,0.75,61.02,1.0
세진,4,캡디 자료조사 하기,2,2026-03-22 18:45,2026-03-22 20:05,80.0,184.0,100.0,보통,MEDIUM,165.02,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.0
세진,5,악성 코드 조사 및 정리하기,1,2026-03-23 19:08,2026-03-23 21:01,113.0,113.0,100.0,보통,MEDIUM,126.13,114.31,113.0,1.31,1.31,1.16,0.0,0.0,0.9,1.31,1.0
세진,2,알고리즘 - 이분탐색 공부,1,2026-03-21 23:58,2026-03-22 00:09,11.0,11.0,10.0,보통,MEDIUM,99.15,101.86,227.0,-125.14,125.14,55.13,99.0,99.0,0.25,90.86,1.0
세진,2,알고리즘 - 이분탐색 공부,2,2026-03-23 23:45,2026-03-24 01:11,87.0,98.0,20.0,완전 몰입,VERY_HIGH,101.86,247.9,227.0,20.9,20.9,9.21,392.0,588.0,0.25,149.9,1.5
세진,2,알고리즘 - 이분탐색 공부,3,2026-03-24 01:27,2026-03-24 01:42,15.0,113.0,30.0,완전 몰입,VERY_HIGH,247.9,378.2,227.0,151.2,151.2,66.61,263.67,395.5,0.5,265.2,1.5
세진,2,알고리즘 - 이분탐색 공부,4,2026-03-24 09:36,2026-03-24 10:31,55.0,168.0,50.0,꽤 집중,HIGH,378.2,373.9,227.0,146.9,146.9,64.71,168.0,201.6,0.5,205.9,1.2
세진,2,알고리즘 - 이분탐색 공부,5,2026-03-24 13:10,2026-03-24 14:09,59.0,227.0,100.0,완전 몰입,VERY_HIGH,373.9,241.69,227.0,14.69,14.69,6.47,0.0,0.0,0.9,14.69,1.5
세진,8,알고리즘 - 이진 검색 트리,1,2026-03-24 15:12,2026-03-24 15:50,37.0,37.0,40.0,산만,LOW,100.92,91.16,56.0,35.16,35.16,62.78,55.5,44.4,0.5,54.16,0.8
세진,8,알고리즘 - 이진 검색 트리,2,2026-03-24 20:08,2026-03-24 20:19,11.0,48.0,50.0,보통,MEDIUM,91.16,93.58,56.0,37.58,37.58,67.11,48.0,48.0,0.5,45.58,1.0
세진,8,알고리즘 - 이진 검색 트리,3,2026-03-25 12:13,2026-03-25 12:21,8.0,56.0,100.0,보통,MEDIUM,93.58,59.76,56.0,3.76,3.76,6.71,0.0,0.0,0.9,3.76,1.0
세진,10,워게임 rev-basic 9문제 풀기,1,2026-04-12 20:45,2026-04-12 21:15,30.0,30.0,20.0,꽤 집중,HIGH,241.3,224.48,166.0,58.48,58.48,35.23,120.0,144.0,0.25,194.48,1.2
세진,10,워게임 rev-basic 9문제 풀기,2,2026-04-13 19:19,2026-04-13 20:45,86.0,116.0,50.0,꽤 집중,HIGH,224.48,239.84,166.0,73.84,73.84,44.48,116.0,139.2,0.5,123.84,1.2
세진,10,워게임 rev-basic 9문제 풀기,3,2026-04-13 20:53,2026-04-13 21:43,50.0,166.0,100.0,꽤 집중,HIGH,239.84,173.38,166.0,7.38,7.38,4.45,0.0,0.0,0.9,7.38,1.2
세진,16,멀코컴 03 정리 마무리,1,2026-04-19 01:53,2026-04-19 02:48,55.0,55.0,90.0,완전 몰입,VERY_HIGH,59.57,63.71,73.0,-9.29,9.29,12.73,6.11,9.17,0.9,8.71,1.5
